entry,structure,prem_cap,need_cap,delta_floor,trades,wins,win_rate,pnl,pnl_exBANKEX,worst
15:00,OTM1,,0.35,0.1,11,7,64,143267,44395,-18910
15:00,OTM1,,0.35,0.2,10,6,60,118356,19484,-18910
15:00,OTM1,,0.35,0.3,9,5,56,110088,11216,-18910
15:00,OTM1,,0.4,,11,7,64,143267,44395,-18910
15:00,OTM1,,0.4,0.1,11,7,64,143267,44395,-18910
15:00,OTM1,,0.4,0.2,10,6,60,118356,19484,-18910
15:00,OTM1,,0.4,0.3,9,5,56,110088,11216,-18910
15:00,OTM1,0.2,,,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.2,,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.2,0.3,,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,0.3,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,0.3,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.2,0.3,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.2,0.35,,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,0.35,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,0.35,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.2,0.35,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.2,0.4,,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,0.4,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.2,0.4,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.2,0.4,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.25,,,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.25,,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.25,0.3,,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,0.3,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,0.3,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.25,0.3,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.25,0.35,,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,0.35,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,0.35,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.25,0.35,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.25,0.4,,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,0.4,0.1,10,6,60,132295,33423,-18910
15:00,OTM1,0.25,0.4,0.2,9,5,56,107384,8512,-18910
15:00,OTM1,0.25,0.4,0.3,8,4,50,99116,244,-18910
15:00,OTM1,0.3,,,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,,0.1,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,,0.2,10,6,60,118356,19484,-18910
15:00,OTM1,0.3,,0.3,9,5,56,110088,11216,-18910
15:00,OTM1,0.3,0.3,,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,0.3,0.1,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,0.3,0.2,10,6,60,118356,19484,-18910
15:00,OTM1,0.3,0.3,0.3,9,5,56,110088,11216,-18910
15:00,OTM1,0.3,0.35,,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,0.35,0.1,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,0.35,0.2,10,6,60,118356,19484,-18910
15:00,OTM1,0.3,0.35,0.3,9,5,56,110088,11216,-18910
15:00,OTM1,0.3,0.4,,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,0.4,0.1,11,7,64,143267,44395,-18910
15:00,OTM1,0.3,0.4,0.2,10,6,60,118356,19484,-18910
15:00,OTM1,0.3,0.4,0.3,9,5,56,110088,11216,-18910
15:00,ATM,,,,12,7,58,88810,1366,-16508
15:00,ATM,,,0.1,12,7,58,88810,1366,-16508
15:00,ATM,,,0.2,12,7,58,88810,1366,-16508
15:00,ATM,,,0.3,12,7,58,88810,1366,-16508
15:00,ATM,,0.3,,8,5,62,93366,5922,-16508
15:00,ATM,,0.3,0.1,8,5,62,93366,5922,-16508
15:00,ATM,,0.3,0.2,8,5,62,93366,5922,-16508
15:00,ATM,,0.3,0.3,8,5,62,93366,5922,-16508
15:00,ATM,,0.35,,9,6,67,96660,9216,-16508
15:00,ATM,,0.35,0.1,9,6,67,96660,9216,-16508
15:00,ATM,,0.35,0.2,9,6,67,96660,9216,-16508
15:00,ATM,,0.35,0.3,9,6,67,96660,9216,-16508
15:00,ATM,,0.4,,11,7,64,97544,10100,-16508
15:00,ATM,,0.4,0.1,11,7,64,97544,10100,-16508
15:00,ATM,,0.4,0.2,11,7,64,97544,10100,-16508
15:00,ATM,,0.4,0.3,11,7,64,97544,10100,-16508
15:00,ATM,0.2,,,4,3,75,16859,16859,-10010
15:00,ATM,0.2,,0.1,4,3,75,16859,16859,-10010
15:00,ATM,0.2,,0.2,4,3,75,16859,16859,-10010
15:00,ATM,0.2,,0.3,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.3,,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.3,0.1,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.3,0.2,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.3,0.3,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.35,,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.35,0.1,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.35,0.2,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.35,0.3,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.4,,4,3,75,16859,16859,-10010
