date,open,high,low,close
2025-11-24,85320.04,85473.47,84710.11,84900.71
2025-11-25,85008.93,85110.24,84536.73,84587.01
2025-11-26,84503.44,85644.19,84478.13,85609.51
2025-11-27,85745.05,86055.86,85473.85,85720.38
2025-11-28,85791.55,85969.89,85577.82,85706.67
2025-12-01,86065.92,86159.02,85489.65,85641.9
2025-12-02,85325.51,85553.51,85053.0,85138.27
2025-12-03,85150.64,85269.68,84763.64,85106.81
2025-12-04,84987.56,85487.21,84949.98,85265.32
2025-12-05,85125.48,85796.72,85078.12,85712.37
2025-12-08,85624.84,85722.97,84875.59,85102.69
2025-12-09,84742.87,84947.89,84382.96,84666.28
2025-12-10,84607.49,85020.34,84313.62,84391.27
2025-12-11,84456.75,84906.93,84150.19,84818.13
2025-12-12,85051.03,85320.82,84956.74,85267.66
2025-12-15,84891.75,85278.63,84840.32,85213.36
2025-12-16,85025.61,85059.96,84620.61,84679.86
2025-12-17,84856.26,84889.45,84415.98,84559.65
2025-12-18,84518.33,84780.19,84238.43,84481.81
2025-12-19,84756.79,85067.5,84734.96,84929.36
2025-12-22,85145.9,85601.33,85145.86,85567.48
2025-12-23,85690.1,85704.93,85342.99,85524.84
2025-12-24,85533.11,85738.18,85342.19,85408.7
2025-12-26,85225.28,85378.51,84937.82,85041.45
2025-12-29,85004.75,85250.0,84637.86,84695.54
2025-12-30,84600.99,84806.99,84470.94,84675.08
2025-12-31,84793.58,85437.17,84705.57,85220.6
2026-01-01,85255.55,85451.7,85101.52,85188.6
2026-01-02,85259.36,85812.27,85068.88,85762.01
2026-01-05,85640.05,85883.5,85315.33,85439.62
2026-01-06,85331.14,85397.78,84900.1,85063.34
2026-01-07,84620.4,85075.99,84617.49,84961.14
2026-01-08,84778.02,84965.27,84110.1,84180.96
2026-01-09,84022.09,84406.22,83402.28,83576.24
2026-01-12,83435.31,83962.33,82861.07,83878.17
2026-01-13,84079.32,84258.03,83262.79,83627.69
2026-01-14,83358.54,83809.98,83185.2,83382.71
2026-01-16,83670.79,84134.97,83456.5,83570.35
2026-01-19,83494.49,83539.93,82898.31,83246.18
2026-01-20,83207.38,83254.28,82010.58,82180.47
2026-01-21,81794.65,82407.05,81124.45,81909.63
2026-01-22,82459.66,82783.18,81874.39,82307.37
2026-01-23,82335.94,82516.27,81471.82,81537.7
2026-01-27,81436.79,82084.92,81088.59,81857.48
2026-01-28,81892.36,82503.97,81814.75,82344.68
2026-01-29,82368.96,82689.96,81707.94,82566.37
2026-01-30,81947.31,82430.82,81941.03,82269.78
2026-02-01,82388.97,82726.65,79899.42,80722.94
2026-02-02,80555.68,81732.25,80387.25,81666.46
2026-02-03,85323.2,85871.73,83501.22,83739.13
2026-02-04,83252.06,83947.53,83119.95,83817.69
2026-02-05,83757.54,83784.17,83151.62,83313.93
2026-02-06,83249.32,83612.12,82925.35,83580.4
2026-02-09,84177.51,84314.68,83860.42,84065.75
2026-02-10,84210.0,84482.95,84063.47,84273.92
2026-02-11,84339.15,84487.34,84081.25,84233.64
2026-02-12,83968.43,84061.62,83516.67,83674.92
2026-02-13,82902.73,83079.7,82534.55,82626.76
2026-02-16,82480.4,83333.49,82276.95,83277.15
2026-02-17,83197.67,83598.0,82987.43,83450.96
2026-02-18,83553.59,83770.05,83163.62,83734.25
2026-02-19,83969.82,83979.36,82264.2,82498.14
2026-02-20,82272.49,83132.08,82206.21,82814.71
2026-02-23,82906.83,83486.15,82906.83,83294.66
2026-02-24,83052.54,83079.51,81934.73,82225.92
2026-02-25,82530.12,82957.91,82132.63,82276.07
2026-02-26,82418.78,82579.16,81970.47,82248.61
2026-02-27,82220.48,82246.17,81159.15,81287.19
2026-03-02,78543.73,80632.55,78543.73,80238.85
2026-03-04,78528.82,79527.41,78443.2,79116.19
2026-03-05,79530.48,80303.83,79201.69,80015.9
2026-03-06,79658.99,79753.03,78812.18,78918.9
2026-03-09,77056.75,77711.35,76424.55,77566.16
2026-03-10,78375.73,78526.25,77745.47,78205.98
2026-03-11,78238.91,78324.37,76759.26,76863.71
2026-03-12,76369.65,76681.71,75871.18,76034.42
2026-03-13,75444.22,75576.2,74454.6,74563.92
2026-03-16,74415.79,75805.27,73949.76,75502.85
2026-03-17,75826.68,76304.26,75324.73,76070.84
2026-03-18,76367.55,77000.22,76187.92,76704.13
2026-03-19,74750.92,75354.18,73950.95,74207.24
2026-03-20,74559.38,75286.39,74385.04,74532.96
2026-03-23,73732.58,73732.58,72558.44,72696.39
2026-03-24,74212.47,74489.39,73084.46,74068.45
2026-03-25,74652.01,75849.76,74550.47,75273.45
2026-03-27,74883.79,74904.91,73534.41,73583.22
2026-03-30,72565.22,73165.32,71774.13,71947.55
2026-04-01,73762.43,73964.58,72971.68,73134.32
2026-04-02,72262.05,73568.54,71545.81,73319.55
2026-04-06,73477.53,74207.46,72728.66,74106.85
2026-04-07,73734.36,74686.32,73282.41,74616.58
2026-04-08,77290.63,77635.54,77042.15,77562.9
2026-04-09,77319.33,77429.33,76347.9,76631.65
2026-04-10,77121.01,77622.5,76851.16,77550.25
2026-04-13,75937.16,77063.41,75868.32,76847.57
2026-04-15,77981.1,78270.42,77849.52,78111.24
2026-04-16,78677.56,78730.32,77674.93,77988.68
2026-04-17,77976.13,78553.45,77726.23,78493.54
2026-04-20,78632.9,78942.45,78203.3,78520.3
2026-04-21,78617.16,79367.08,78522.96,79273.33
2026-04-22,79019.34,79031.03,78442.3,78516.49
2026-04-23,77983.66,78178.54,77574.18,77664.0
2026-04-24,77483.8,77710.82,76403.87,76664.21
2026-04-27,76856.05,77420.04,76754.2,77303.63
2026-04-28,77094.79,77493.53,76741.06,76886.91
2026-04-29,77245.83,77982.51,77136.2,77496.36
2026-04-30,77014.21,77254.33,76258.86,76913.5
2026-05-04,77257.27,77910.75,76939.54,77269.4
2026-05-05,77103.72,77151.33,76515.03,77017.79
2026-05-06,77424.36,78022.78,76773.25,77958.52
2026-05-07,78339.24,78384.7,77713.21,77844.52
2026-05-08,77631.94,77647.44,77146.43,77328.19
2026-05-11,76638.09,76678.52,75957.4,76015.28
2026-05-12,75688.39,75741.96,74449.5,74559.24
2026-05-13,74439.34,75191.57,74134.48,74608.98
2026-05-14,74947.12,75681.88,74526.77,75398.72
2026-05-15,75497.1,75870.36,75139.41,75237.99
2026-05-18,74807.97,75466.6,74180.26,75315.04
2026-05-19,75441.27,75746.27,75115.99,75200.85
2026-05-20,74806.49,75406.18,74529.41,75318.39
2026-05-21,75732.42,75945.79,74996.78,75183.36
2026-05-22,75260.39,75810.97,75230.75,75415.35
2026-05-25,76135.82,76559.07,76097.02,76488.96
2026-05-26,76224.14,76627.04,75909.68,76009.7
2026-05-27,75939.86,76224.68,75748.21,75867.8
2026-05-29,75988.51,76220.02,74589.11,74775.74
2026-06-01,75203.02,75367.93,74203.68,74267.34
2026-06-02,73945.2,74862.19,73815.12,74649.84
2026-06-03,74507.73,74515.65,73492.6,74346.17
2026-06-04,73935.83,74544.24,73807.3,74360.01
2026-06-05,74629.94,74717.57,73988.75,74243.34
2026-06-08,73421.61,73934.35,73318.94,73524.26
2026-06-09,74035.41,74035.41,73426.18,73918.76
2026-06-10,73988.27,74613.01,73897.57,73983.18
2026-06-11,73615.99,74394.34,73518.75,73832.55
2026-06-12,74709.27,75608.02,74453.39,75527.95
2026-06-15,76725.27,76821.07,76140.44,76264.33
2026-06-16,76526.77,76846.74,76443.34,76808.48
2026-06-17,77080.09,77218.99,76768.49,77155.62
2026-06-18,77131.66,77492.33,76953.0,77409.98
2026-06-19,76852.86,76901.65,76469.72,76802.9
2026-06-22,77160.67,77325.56,77008.02,77094.07
2026-06-23,77086.05,77194.83,76082.51,76200.68
2026-06-24,76229.76,77190.37,76121.59,76991.22
2026-06-25,77391.07,77803.18,76993.16,77100.47
2026-06-29,77055.21,77252.78,76621.75,76728.37
2026-06-30,77005.51,77037.36,76329.39,76478.67
2026-07-01,76545.21,77110.08,76538.37,76922.64
2026-07-02,77083.14,77578.93,77063.95,77502.12
2026-07-03,78152.34,78157.52,77710.01,77763.91
2026-07-06,77940.9,78398.06,77879.7,78285.07
2026-07-07,78461.16,78664.92,78031.04,78180.72
2026-07-08,77816.45,77851.18,76259.03,76503.6
2026-07-09,76576.14,77326.65,76576.14,76741.82
2026-07-10,77395.63,77642.23,77320.56,77569.39
2026-07-13,76963.35,77789.29,76857.43,77616.4
2026-07-14,77272.34,77402.79,77001.48,77054.94
2026-07-15,77192.76,77646.27,76982.82,77185.43
2026-07-16,77388.42,77579.69,77086.42,77186.87
2026-07-17,77370.77,78282.55,77308.0,78151.45
2026-07-20,78151.45,78151.45,77368.29,77708.52
2026-07-21,77649.63,77753.18,77337.33,77470.11
2026-07-22,77384.95,77384.95,76641.19,76755.05
2026-07-23,76515.1,76726.66,76151.98,76391.39
2026-07-24,75708.19,76210.95,75474.43,76059.77
2026-07-27,76608.98,76901.51,76517.85,76835.78
2026-07-28,76831.75,76988.48,76672.77,76765.92
2026-07-29,77423.77,77765.49,77333.24,77654.6
2026-07-30,77638.86,78007.09,77440.91,77928.15
2026-07-31,77998.66,78272.25,77809.93,78094.64
2026-08-03,78883.34,78895.1,78497.34,78639.03
2026-08-04,79132.97,79143.15,78211.87,78428.95
2026-08-05,79055.38,79055.38,78285.74,78581.0
2026-08-06,78782.43,78954.76,78633.73,78954.76
2026-08-07,78516.08,78757.4,78377.07,78499.17
2026-08-10,78501.59,78676.98,78298.92,78542.44
2026-08-11,78509.77,78509.77,78048.26,78154.25
2026-08-12,78263.33,78263.33,77497.93,77966.35
2026-08-13,78111.91,78119.39,77665.89,78079.96
2026-08-14,77903.43,78048.91,77684.37,78009.25
2026-08-17,77892.92,77928.68,77453.75,77728.16
2026-08-18,77418.97,77575.21,77234.36,77235.46
2026-08-19,77218.05,77347.81,76822.89,76909.68
2026-08-20,77468.45,77611.11,77371.0,77537.72
2026-08-21,77701.07,77725.67,77445.86,77540.83
2026-08-24,77629.56,77789.4,77201.66,77369.11
2026-08-25,77295.49,77666.39,77125.91,77656.09
