ts,offset,side,strike,spot,close,volume,oi
2026-08-27 12:35:00,ATM+1,CE,65300.0,65189.26,131.8,92280,127620
2026-08-27 12:40:00,ATM+1,CE,65300.0,65175.01,110.85,85650,139560
2026-08-27 12:45:00,ATM+1,CE,65300.0,65163.96,108.05,60000,152400
2026-08-27 12:50:00,ATM+1,CE,65300.0,65191.78,114.9,62670,153690
2026-08-27 12:55:00,ATM+1,CE,65300.0,65225.88,120.8,87420,152400
2026-08-27 13:00:00,ATM+1,CE,65300.0,65233.13,122.45,70500,152610
2026-08-27 13:05:00,ATM+1,CE,65400.0,65252.61,85.55,56460,148860
2026-08-27 13:10:00,ATM+1,CE,65400.0,65348.08,112.8,235410,146070
2026-08-27 13:15:00,ATM+1,CE,65400.0,65309.74,93.05,195840,159870
2026-08-27 13:20:00,ATM+1,CE,65400.0,65329.81,95.1,85620,159930
2026-08-27 13:25:00,ATM+1,CE,65400.0,65284.34,78.8,133260,158400
2026-08-27 13:30:00,ATM+1,CE,65400.0,65268.93,70.6,153120,152640
2026-08-27 13:35:00,ATM+1,CE,65400.0,65281.59,71.3,70680,149580
2026-08-27 13:40:00,ATM+1,CE,65300.0,65240.66,95.9,111030,156990
2026-08-27 13:45:00,ATM+1,CE,65300.0,65200.35,65.5,211320,175620
2026-08-27 13:50:00,ATM+1,CE,65300.0,65173.26,69.85,84930,173940
2026-08-27 13:55:00,ATM+1,CE,65200.0,65121.38,99.3,92550,117210
2026-08-27 14:00:00,ATM+1,CE,65200.0,65117.71,89.05,91980,130320
2026-08-27 14:05:00,ATM+1,CE,65200.0,65085.63,88.1,109740,152940
2026-08-27 14:10:00,ATM+1,CE,65200.0,65114.8,106.85,195480,157200
2026-08-27 14:15:00,ATM+1,CE,65300.0,65163.81,68.95,121800,205320
2026-08-27 14:20:00,ATM+1,CE,65300.0,65200.47,66.7,171240,215190
2026-08-27 14:25:00,ATM+1,CE,65300.0,65185.78,65.25,150120,209550
2026-08-27 14:30:00,ATM+1,CE,65300.0,65159.15,48.5,309240,206340
2026-08-27 14:35:00,ATM+1,CE,65300.0,65166.0,45.9,206580,211080
2026-08-27 14:40:00,ATM+1,CE,65200.0,65130.81,73.95,180270,187530
2026-08-27 14:45:00,ATM+1,CE,65200.0,65139.87,72.85,140130,217740
2026-08-27 14:50:00,ATM+1,CE,65200.0,65123.71,75.55,271320,208680
2026-08-27 14:55:00,ATM+1,CE,65300.0,65156.16,59.4,251640,230310
2026-08-27 15:00:00,ATM+1,CE,65300.0,65175.48,44.75,369570,229470
2026-08-27 15:05:00,ATM+1,CE,65300.0,65150.31,26.6,294930,235110
2026-08-27 15:10:00,ATM+1,CE,65200.0,65106.05,69.3,276660,196260
2026-08-27 15:15:00,ATM+1,CE,65200.0,65106.05,36.0,296910,222810
2026-08-27 15:20:00,ATM+1,CE,65200.0,65106.05,30.6,605850,234630
2026-08-27 15:25:00,ATM+1,CE,64400.0,64313.15,773.0,326580,840
2026-08-27 15:30:00,ATM+1,CE,64400.0,64313.15,0.2,473880,169830
2026-08-27 15:35:00,ATM+1,CE,64400.0,64313.15,0.1,298590,120120
2026-08-28 09:30:00,ATM+1,CE,65000.0,64894.77,928.0,60,0
2026-08-28 09:35:00,ATM+1,CE,65000.0,64898.97,932.3,60,120
2026-08-28 09:40:00,ATM+1,CE,65000.0,64938.42,932.3,0,120
2026-08-28 09:45:00,ATM+1,CE,65000.0,64930.59,932.3,0,120
2026-08-28 09:50:00,ATM+1,CE,65000.0,64948.58,932.3,0,120
2026-08-28 10:05:00,ATM+1,CE,65000.0,64939.95,932.3,0,120
2026-08-28 11:20:00,ATM+1,CE,65100.0,64972.7,931.35,150,90
2026-08-28 11:25:00,ATM+1,CE,65000.0,64912.28,986.45,60,450
2026-08-28 11:30:00,ATM+1,CE,65000.0,64896.33,989.25,60,510
2026-08-28 11:35:00,ATM+1,CE,65000.0,64916.28,989.25,0,510
2026-08-28 11:40:00,ATM+1,CE,65000.0,64917.36,989.25,0,510
2026-08-28 11:45:00,ATM+1,CE,65000.0,64909.98,989.25,0,510
2026-08-28 11:50:00,ATM+1,CE,65000.0,64893.08,989.25,30,540
2026-08-28 11:55:00,ATM+1,CE,65000.0,64853.0,989.25,0,540
2026-08-28 12:05:00,ATM+1,CE,65000.0,64852.93,952.25,0,570
2026-08-27 09:15:00,ATM+1,PE,65600.0,65472.62,187.25,139230,45060
2026-08-27 09:20:00,ATM+1,PE,65500.0,65420.88,157.5,109020,72210
2026-08-27 09:25:00,ATM+1,PE,65500.0,65382.61,162.0,177300,81870
2026-08-27 09:30:00,ATM+1,PE,65500.0,65413.31,146.85,158790,86640
2026-08-27 09:35:00,ATM+1,PE,65500.0,65378.9,159.8,108690,89850
2026-08-27 09:40:00,ATM+1,PE,65500.0,65404.24,153.9,57000,91740
2026-08-27 09:45:00,ATM+1,PE,65500.0,65441.61,142.45,78150,97320
2026-08-27 09:50:00,ATM+1,PE,65500.0,65439.63,151.05,50400,104640
2026-08-27 09:55:00,ATM+1,PE,65500.0,65397.2,155.65,66360,110400
2026-08-27 10:00:00,ATM+1,PE,65500.0,65410.67,151.45,68400,120330
2026-08-27 10:05:00,ATM+1,PE,65500.0,65406.35,141.0,46470,121530
2026-08-27 10:10:00,ATM+1,PE,65500.0,65385.84,165.0,47910,129390
2026-08-27 10:15:00,ATM+1,PE,65500.0,65391.43,154.0,34980,132390
2026-08-27 10:20:00,ATM+1,PE,65500.0,65353.38,163.35,21270,130800
2026-08-27 10:25:00,ATM+1,PE,65500.0,65361.81,165.0,33540,132510
2026-08-27 10:30:00,ATM+1,PE,65400.0,65349.76,111.05,23730,145770
2026-08-27 10:35:00,ATM+1,PE,65500.0,65365.22,157.9,15270,133590
2026-08-27 10:40:00,ATM+1,PE,65400.0,65329.51,119.0,52650,150180
2026-08-27 10:45:00,ATM+1,PE,65400.0,65331.16,127.95,80760,140640
2026-08-27 10:50:00,ATM+1,PE,65400.0,65284.09,146.85,146550,118620
2026-08-27 10:55:00,ATM+1,PE,65400.0,65300.16,138.05,65550,115560
2026-08-27 11:00:00,ATM+1,PE,65400.0,65310.44,130.0,89070,120120
2026-08-27 11:05:00,ATM+1,PE,65400.0,65309.7,134.25,31290,124980
2026-08-27 11:10:00,ATM+1,PE,65400.0,65291.25,143.35,43110,122940
2026-08-27 11:15:00,ATM+1,PE,65400.0,65278.72,138.75,51270,122190
2026-08-27 11:20:00,ATM+1,PE,65400.0,65281.9,143.55,34590,121230
2026-08-27 11:25:00,ATM+1,PE,65400.0,65268.5,153.35,65700,115770
2026-08-27 11:30:00,ATM+1,PE,65400.0,65324.4,133.2,44850,113790
2026-08-27 11:35:00,ATM+1,PE,65400.0,65320.56,145.1,23190,111780
2026-08-27 11:40:00,ATM+1,PE,65400.0,65286.42,147.7,18900,112950
2026-08-27 11:45:00,ATM+1,PE,65400.0,65281.4,150.1,10590,113220
2026-08-27 11:50:00,ATM+1,PE,65400.0,65299.31,143.85,20670,113880
2026-08-27 11:55:00,ATM+1,PE,65400.0,65319.86,134.75,27390,113580
2026-08-27 12:00:00,ATM+1,PE,65400.0,65259.22,154.45,44070,114420
2026-08-27 12:05:00,ATM+1,PE,65300.0,65240.12,111.7,147780,124680
2026-08-27 12:10:00,ATM+1,PE,65300.0,65248.37,117.95,105060,117510
2026-08-27 12:15:00,ATM+1,PE,65300.0,65185.32,146.85,145260,111600
2026-08-27 12:20:00,ATM+1,PE,65200.0,65134.74,120.4,278640,123840
2026-08-27 12:25:00,ATM+1,PE,65300.0,65177.33,161.65,131730,108270
2026-08-27 12:30:00,ATM+1,PE,65200.0,65134.55,117.5,115710,140790
2026-08-27 12:35:00,ATM+1,PE,65300.0,65189.26,110.6,149490,107820
2026-08-27 12:40:00,ATM+1,PE,65300.0,65175.01,137.25,102420,133590
2026-08-27 12:45:00,ATM+1,PE,65300.0,65163.96,134.0,73800,138810
2026-08-27 12:50:00,ATM+1,PE,65300.0,65191.78,125.9,62490,141810
2026-08-27 12:55:00,ATM+1,PE,65300.0,65225.88,112.15,59460,140520
2026-08-27 13:00:00,ATM+1,PE,65300.0,65233.13,113.4,77730,146520
2026-08-27 13:05:00,ATM+1,PE,65400.0,65252.61,159.2,54000,79980
2026-08-27 13:10:00,ATM+1,PE,65400.0,65348.08,127.5,68100,90570
2026-08-27 13:15:00,ATM+1,PE,65400.0,65309.74,139.3,75540,102120
2026-08-27 13:20:00,ATM+1,PE,65400.0,65329.81,132.55,30840,102510
2026-08-27 13:25:00,ATM+1,PE,65400.0,65284.34,159.1,63060,98610
2026-08-27 13:30:00,ATM+1,PE,65400.0,65268.93,151.35,39240,94260
2026-08-27 13:35:00,ATM+1,PE,65400.0,65281.59,148.5,21270,94200
2026-08-27 13:40:00,ATM+1,PE,65300.0,65240.66,111.65,58620,160290
2026-08-27 13:45:00,ATM+1,PE,65300.0,65200.35,136.75,227670,138150
2026-08-27 13:50:00,ATM+1,PE,65300.0,65173.26,139.15,82560,125730
2026-08-27 13:55:00,ATM+1,PE,65200.0,65121.38,108.3,227910,136470
2026-08-27 14:00:00,ATM+1,PE,65200.0,65117.71,115.35,184590,128400
2026-08-27 14:05:00,ATM+1,PE,65200.0,65085.63,112.5,214500,136770
2026-08-27 14:10:00,ATM+1,PE,65200.0,65114.8,94.9,232800,134880
2026-08-27 14:15:00,ATM+1,PE,65300.0,65163.81,116.05,124860,116910
2026-08-27 14:20:00,ATM+1,PE,65300.0,65200.47,111.65,70290,118980
2026-08-27 14:25:00,ATM+1,PE,65300.0,65185.78,118.0,56400,119820
2026-08-27 14:30:00,ATM+1,PE,65300.0,65159.15,147.6,243030,110370
2026-08-27 14:35:00,ATM+1,PE,65300.0,65166.0,147.0,139500,115680
2026-08-27 14:40:00,ATM+1,PE,65200.0,65130.81,107.2,152880,153090
2026-08-27 14:45:00,ATM+1,PE,65200.0,65139.87,104.65,112740,155910
2026-08-27 14:50:00,ATM+1,PE,65200.0,65123.71,101.35,156840,135060
2026-08-27 14:55:00,ATM+1,PE,65300.0,65156.16,110.45,153150,108390
2026-08-27 15:00:00,ATM+1,PE,65300.0,65175.48,118.35,135600,114870
2026-08-27 15:05:00,ATM+1,PE,65300.0,65150.31,162.6,251670,103560
2026-08-27 15:10:00,ATM+1,PE,65200.0,65106.05,101.15,333570,115980
2026-08-27 15:15:00,ATM+1,PE,65200.0,65106.05,135.55,278010,119790
2026-08-27 15:20:00,ATM+1,PE,65200.0,65106.05,1017.25,198120,88470
2026-08-27 15:25:00,ATM+1,PE,64400.0,64313.15,88.4,82590,63090
2026-08-27 15:30:00,ATM+1,PE,64400.0,64313.15,86.8,87780,75270
2026-08-27 15:35:00,ATM+1,PE,64400.0,64313.15,86.8,31800,72300
2026-08-28 09:20:00,ATM+1,PE,65000.0,64880.65,643.95,120,480
2026-08-28 09:25:00,ATM+1,PE,65000.0,64941.53,649.0,180,480
