ts,offset,side,strike,spot,close,volume,oi,iv
2026-09-03 10:35:00,ATM+3,PE,77100.0,76757.3,533.15,12740,17460,10.007209
2026-09-03 10:40:00,ATM-3,CE,76500.0,76755.25,687.9,1700,170160,10.636662
2026-09-03 10:40:00,ATM-2,CE,76600.0,76755.25,620.5,9020,24020,10.501658
2026-09-03 10:40:00,ATM-1,CE,76700.0,76755.25,559.95,4320,29380,10.454677
2026-09-03 10:40:00,ATM,CE,76800.0,76755.25,500.0,6940,65500,10.342013
2026-09-03 10:40:00,ATM+1,CE,76900.0,76755.25,444.0,10180,63460,10.24065
2026-09-03 10:40:00,ATM+2,CE,77000.0,76755.25,393.35,14360,300420,10.180416
2026-09-03 10:40:00,ATM+3,CE,77100.0,76755.25,347.9,38500,30960,10.157107
2026-09-03 10:40:00,ATM-3,PE,76500.0,76755.25,293.25,9420,187940,10.920587
2026-09-03 10:40:00,ATM-2,PE,76600.0,76755.25,327.75,25480,52380,10.828801
2026-09-03 10:40:00,ATM-1,PE,76700.0,76755.25,368.0,10180,40500,10.79894
2026-09-03 10:40:00,ATM,PE,76800.0,76755.25,407.15,29440,81980,10.665581
2026-09-03 10:40:00,ATM+1,PE,76900.0,76755.25,451.6,27200,55920,10.577626
2026-09-03 10:40:00,ATM+2,PE,77000.0,76755.25,501.0,27140,254640,10.524096
2026-09-03 10:40:00,ATM+3,PE,77100.0,76755.25,552.0,36060,17680,10.425547
2026-09-03 10:45:00,ATM-3,CE,76500.0,76761.41,693.35,1520,170200,10.677488
2026-09-03 10:45:00,ATM-2,CE,76600.0,76761.41,631.3,2120,24640,10.675497
2026-09-03 10:45:00,ATM-1,CE,76700.0,76761.41,568.8,3320,31860,10.583705
2026-09-03 10:45:00,ATM,CE,76800.0,76761.41,507.55,5840,69440,10.443882
2026-09-03 10:45:00,ATM+1,CE,76900.0,76761.41,450.5,5640,64940,10.322566
2026-09-03 10:45:00,ATM+2,CE,77000.0,76761.41,401.45,9940,304720,10.304937
2026-09-03 10:45:00,ATM+3,CE,77100.0,76761.41,353.8,14980,32180,10.236279
2026-09-03 10:45:00,ATM-3,PE,76500.0,76761.41,289.8,6180,190120,10.892141
2026-09-03 10:45:00,ATM-2,PE,76600.0,76761.41,325.9,14140,51160,10.84441
2026-09-03 10:45:00,ATM-1,PE,76700.0,76761.41,362.05,5960,49400,10.721988
2026-09-03 10:45:00,ATM,PE,76800.0,76761.41,402.95,10020,80440,10.635271
2026-09-03 10:45:00,ATM+1,PE,76900.0,76761.41,447.3,8940,58020,10.550037
2026-09-03 10:45:00,ATM+2,PE,77000.0,76761.41,495.0,7580,251500,10.46178
2026-09-03 10:45:00,ATM+3,PE,77100.0,76761.41,547.2,8580,19840,10.395869
2026-09-03 10:50:00,ATM-3,CE,76400.0,76722.83,741.0,3960,23260,10.890042
2026-09-03 10:50:00,ATM-2,CE,76500.0,76722.83,672.75,4840,171260,10.778635
2026-09-03 10:50:00,ATM-1,CE,76600.0,76722.83,608.95,3540,25040,10.701568
2026-09-03 10:50:00,ATM,CE,76700.0,76722.83,549.4,7860,33180,10.64851
2026-09-03 10:50:00,ATM+1,CE,76800.0,76722.83,491.0,3600,74480,10.543633
2026-09-03 10:50:00,ATM+2,CE,76900.0,76722.83,434.3,8180,65520,10.398351
2026-09-03 10:50:00,ATM+3,CE,77000.0,76722.83,385.0,17840,305320,10.342915
