ts,offset,side,strike,spot,close,volume,oi
2026-08-27 13:05:00,ATM-3,PE,77000.0,77347.9,10.65,3582580,7377120
2026-08-27 13:10:00,ATM-3,PE,77100.0,77380.11,14.05,4831020,6152580
2026-08-27 13:15:00,ATM-3,PE,77100.0,77360.65,16.45,4403620,5939180
2026-08-27 13:20:00,ATM-3,PE,77100.0,77385.45,14.65,2808480,5833500
2026-08-27 13:25:00,ATM-3,PE,77100.0,77353.81,15.7,3110260,5870440
2026-08-27 13:30:00,ATM-3,PE,77000.0,77334.86,10.15,6370720,7974540
2026-08-27 13:35:00,ATM-3,PE,77000.0,77347.59,9.0,3722940,7993720
2026-08-27 13:40:00,ATM-3,PE,77000.0,77297.02,11.9,4625660,8072980
2026-08-27 13:45:00,ATM-3,PE,76900.0,77233.26,10.45,11682340,3297320
2026-08-27 13:50:00,ATM-3,PE,76900.0,77212.98,11.85,4638920,3774080
2026-08-27 13:55:00,ATM-3,PE,76900.0,77185.93,14.2,6056020,3703360
2026-08-27 14:00:00,ATM-3,PE,76900.0,77169.44,14.45,5144340,3703360
2026-08-27 14:05:00,ATM-3,PE,76900.0,77150.84,15.35,5765880,3831100
2026-08-27 14:10:00,ATM-3,PE,76900.0,77179.93,12.8,5378820,4038080
2026-08-27 14:15:00,ATM-3,PE,76900.0,77216.47,8.65,4250100,3778220
2026-08-27 14:20:00,ATM-3,PE,76900.0,77241.44,8.65,3335400,3849680
2026-08-27 14:25:00,ATM-3,PE,77000.0,77261.16,9.9,6526020,8533100
2026-08-27 14:30:00,ATM-3,PE,77000.0,77257.34,11.65,8694220,9120960
2026-08-27 14:35:00,ATM-3,PE,77000.0,77254.82,11.1,4773060,9664360
2026-08-27 14:40:00,ATM-3,PE,76900.0,77200.25,9.45,3633000,3750560
2026-08-27 14:45:00,ATM-3,PE,76900.0,77235.67,7.4,4369380,3936860
2026-08-27 14:50:00,ATM-3,PE,76900.0,77197.96,8.25,8108240,3849260
2026-08-27 14:55:00,ATM-3,PE,76900.0,77245.54,4.9,4351380,3862380
2026-08-27 15:00:00,ATM-3,PE,76900.0,77213.18,7.4,6612940,3453960
2026-08-27 15:05:00,ATM-3,PE,76900.0,77208.08,8.0,8141100,3685000
2026-08-27 15:10:00,ATM-3,PE,76900.0,77182.91,9.75,7453220,3669180
2026-08-27 15:15:00,ATM-3,PE,76900.0,77182.91,7.55,9085860,3827860
2026-08-27 15:20:00,ATM-3,PE,76900.0,77182.91,52.7,22016500,3119300
2026-08-27 15:25:00,ATM-3,PE,76600.0,76933.59,0.15,22757460,2427240
2026-08-27 15:30:00,ATM-3,PE,76600.0,76933.59,0.05,1252820,1274540
2026-08-27 15:35:00,ATM-3,PE,76600.0,76933.59,0.05,122560,1228320
2026-08-27 09:15:00,ATM-2,CE,77300.0,77515.13,298.8,3213480,383940
2026-08-27 09:20:00,ATM-2,CE,77300.0,77483.71,271.0,580800,507500
2026-08-27 09:25:00,ATM-2,CE,77200.0,77397.03,308.55,721600,443120
2026-08-27 09:30:00,ATM-2,CE,77200.0,77421.64,310.95,696980,536820
2026-08-27 09:35:00,ATM-2,CE,77200.0,77389.84,292.45,619400,609060
2026-08-27 09:40:00,ATM-2,CE,77200.0,77442.61,323.3,559500,694440
2026-08-27 09:45:00,ATM-2,CE,77300.0,77506.41,258.35,1637300,1165920
2026-08-27 09:50:00,ATM-2,CE,77300.0,77459.35,225.2,1157860,1173840
2026-08-27 09:55:00,ATM-2,CE,77200.0,77411.45,280.65,549540,809800
2026-08-27 10:00:00,ATM-2,CE,77200.0,77389.69,266.65,697320,891440
