symbol,date,p1510,cas_close,approx_close,auction_move_pct,abs_move_pct,max_pain,mp_dist_pct,atm_oi_share,oi_hhi,pcr_oi,blast_score,best_option
LT,2026-08-24,4092.0,4090.0,True,-0.049,0.049,4050.0,1.026,51.6,0.216,0.39,0.2697,"{'side': 'CE', 'strike': 4100.0, 'entry': 3.6, 'settle': 0.0, 'ret_pct': -100.0}"
LT,2026-08-25,4116.2,4119.0,False,0.068,0.068,4050.0,1.608,46.0,0.22,0.4,0.3078,"{'side': 'CE', 'strike': 4150.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
NYKAA,2026-08-20,329.6,330.35,True,0.228,0.228,330.0,-0.121,28.5,0.159,0.5,0.0686,"{'side': 'CE', 'strike': 330.0, 'entry': 2.75, 'settle': 0.35, 'ret_pct': -87.0}"
NYKAA,2026-08-21,332.4,334.0,True,0.481,0.481,330.0,0.722,29.6,0.146,0.39,0.0993,"{'side': 'CE', 'strike': 335.0, 'entry': 1.95, 'settle': 0.0, 'ret_pct': -100.0}"
NYKAA,2026-08-24,330.5,330.3,True,-0.061,0.061,330.0,0.151,33.6,0.168,0.5,0.0844,"{'side': 'CE', 'strike': 335.0, 'entry': 0.5, 'settle': 0.0, 'ret_pct': -100.0}"
NYKAA,2026-08-25,332.0,334.0,False,0.602,0.602,335.0,-0.904,21.4,0.155,0.47,0.0926,"{'side': 'CE', 'strike': 335.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
POWERINDIA,2026-08-20,33380.0,33510.0,True,0.389,0.389,34000.0,-1.857,14.5,0.166,0.86,0.1014,"{'side': 'CE', 'strike': 33500.0, 'entry': 358.7, 'settle': 10.0, 'ret_pct': -97.0}"
POWERINDIA,2026-08-21,34300.0,34190.0,True,-0.321,0.321,34500.0,-0.583,18.9,0.127,0.93,0.0582,"{'side': 'CE', 'strike': 34500.0, 'entry': 307.55, 'settle': 0.0, 'ret_pct': -100.0}"
POWERINDIA,2026-08-24,33700.0,33840.0,True,0.415,0.415,34000.0,-0.89,14.5,0.129,0.65,0.0597,"{'side': 'CE', 'strike': 34000.0, 'entry': 116.1, 'settle': 0.0, 'ret_pct': -100.0}"
POWERINDIA,2026-08-25,33270.0,33300.0,False,0.09,0.09,33500.0,-0.691,14.6,0.133,1.11,0.0556,"{'side': 'CE', 'strike': 33500.0, 'entry': 24.0, 'settle': 0.0, 'ret_pct': -100.0}"
GVT&D,2026-08-20,4080.0,4050.1,True,-0.733,0.733,4100.0,-0.49,29.8,0.155,0.85,0.0921,"{'side': 'CE', 'strike': 4100.0, 'entry': 40.55, 'settle': 0.0, 'ret_pct': -100.0}"
GVT&D,2026-08-21,4142.1,4127.2,True,-0.36,0.36,4200.0,-1.398,25.0,0.138,0.64,0.1159,"{'side': 'CE', 'strike': 4200.0, 'entry': 29.5, 'settle': 0.0, 'ret_pct': -100.0}"
GVT&D,2026-08-24,4152.6,4177.9,True,0.609,0.609,4200.0,-1.141,23.4,0.175,0.44,0.1254,"{'side': 'CE', 'strike': 4200.0, 'entry': 25.6, 'settle': 0.0, 'ret_pct': -100.0}"
GVT&D,2026-08-25,4182.0,4185.0,False,0.072,0.072,4200.0,-0.43,22.0,0.162,0.64,0.074,"{'side': 'CE', 'strike': 4200.0, 'entry': 4.5, 'settle': 0.0, 'ret_pct': -100.0}"
IDEA,2026-08-20,14.06,14.03,True,-0.213,0.213,14.0,0.427,55.2,0.217,0.72,0.2024,"{'side': 'CE', 'strike': 15.0, 'entry': 0.04, 'settle': 0.0, 'ret_pct': -100.0}"
