index,cond,k,window,n,signals_per_day,k_share,p0_med,otm_pts_med,p_2x,p_3x,p_5x,p_10x,net_mean,net_median,p_net_pos,p_lose_half,take5_mean,take3_mean
NIFTY,LEAN,3,11:45–12:15,1,0.008547008547008548,,4.366387161280272,140.34999999999854,0.0,0.0,0.0,0.0,-75.51572093868911,-75.51572093868911,0.0,100.0,-75.51572093868911,-75.51572093868911
NIFTY,LEAN,3,12:15–12:45,3,0.02564102564102564,,1.8948404892159942,149.79999999999927,33.33333333333333,33.33333333333333,0.0,0.0,-31.706706736654276,-50.0,33.33333333333333,66.66666666666666,-31.706706736654276,7.864603463000915
NIFTY,LEAN,3,12:45–13:15,13,0.1111111111111111,,2.8197459518517007,146.54999999999927,38.46153846153847,30.76923076923077,15.384615384615385,0.0,24.37645491269501,-50.0,23.076923076923077,53.84615384615385,19.88469133977877,20.6060630481897
NIFTY,LEAN,3,13:15–13:45,29,0.24786324786324787,,1.5,145.5,24.137931034482758,13.793103448275861,3.4482758620689653,0.0,-41.48271175132274,-50.0,10.344827586206897,75.86206896551724,-27.391215576212048,-19.967513107073632
NIFTY,LEAN,3,13:45–14:15,20,0.17094017094017094,,1.5,154.02499999999964,35.0,15.0,0.0,0.0,-52.82190518881495,-50.0,5.0,80.0,-52.82190518881495,-21.681289861979014
NIFTY,LEAN,3,14:15–14:55,16,0.13675213675213677,,1.5,155.95000000000073,0.0,0.0,0.0,0.0,-52.88071845877169,-50.0,0.0,100.0,-52.88071845877169,-52.88071845877169
NIFTY,LEAN,3,all,82,0.7008547008547008,,1.5,148.22500000000036,24.390243902439025,14.634146341463413,3.6585365853658534,0.0,-36.088660575471,-50.0,9.75609756097561,78.04878048780488,-31.817191519003945,-20.034369068393694
NIFTY,ANY,0,09:15–09:45,1404,,"{""1"": 0.66, ""2"": 0.34}",27.237285569873166,61.399999999999636,22.364672364672362,7.977207977207977,1.3532763532763532,0.0,-6.181778091537549,-33.239755747761244,33.61823361823362,38.24786324786324,-4.824079263698738,-5.280148419752501
NIFTY,ANY,0,09:45–10:15,1404,,"{""1"": 0.58, ""2"": 0.42}",9.813676196925371,68.20000000000073,22.15099715099715,9.401709401709402,2.2792022792022792,0.07122507122507123,1.5419180791775189,-22.041668871332654,36.75213675213676,31.267806267806268,2.0971630912720185,-1.3109748085125008
NIFTY,ANY,0,10:15–10:45,1404,,"{""1"": 0.57, ""2"": 0.43}",9.486055347347929,69.92500000000109,19.159544159544158,7.478632478632479,2.849002849002849,0.641025641025641,1.978616359450479,-28.373453450829476,31.267806267806268,30.698005698005698,-2.2821290649284687,-7.849859088190378
